pokemon,ability,is_hidden,slot,description
eevee,Adaptability,No,2,Increases the same-type attack bonus from 1.5× to 2×.
eevee,Anticipation,Yes,3,"Notifies all trainers upon entering battle if an opponent has a super-effective move, self destruct, explosion, or a one-hit KO move."
vaporeon,Water Absorb,No,1,"Absorbs water moves, healing for 1/4 max HP."
vaporeon,Hydration,Yes,3,Cures any major status ailment after each turn during rain.
jolteon,Volt Absorb,No,1,"Absorbs electric moves, healing for 1/4 max HP."
jolteon,Quick Feet,Yes,3,Increases Speed to 1.5× with a major status ailment.
flareon,Flash Fire,No,1,"Protects against fire moves.  Once one has been blocked, the Pokémon's own Fire moves inflict 1.5× damage until it leaves battle."
flareon,Guts,Yes,3,Increases Attack to 1.5× with a major status ailment.
porygon,Trace,No,1,Copies an opponent's ability upon entering battle.
porygon,Download,No,2,Raises the attack stat corresponding to the opponents' weaker defense one stage upon entering battle.
porygon,Analytic,Yes,3,Strengthens moves to 1.3× their power when moving last.
omanyte,Swift Swim,No,1,Doubles Speed during rain.
omanyte,Shell Armor,No,2,Protects against critical hits.
omanyte,Weak Armor,Yes,3,Raises Speed and lowers Defense by one stage each upon being hit by a physical move.
omastar,Swift Swim,No,1,Doubles Speed during rain.
omastar,Shell Armor,No,2,Protects against critical hits.
omastar,Weak Armor,Yes,3,Raises Speed and lowers Defense by one stage each upon being hit by a physical move.
kabuto,Swift Swim,No,1,Doubles Speed during rain.
kabuto,Battle Armor,No,2,Protects against critical hits.
kabuto,Weak Armor,Yes,3,Raises Speed and lowers Defense by one stage each upon being hit by a physical move.
kabutops,Swift Swim,No,1,Doubles Speed during rain.
kabutops,Battle Armor,No,2,Protects against critical hits.
kabutops,Weak Armor,Yes,3,Raises Speed and lowers Defense by one stage each upon being hit by a physical move.
aerodactyl,Rock Head,No,1,Protects against recoil damage.
aerodactyl,Pressure,No,2,Increases the PP cost of moves targetting the Pokémon by one.
aerodactyl,Unnerve,Yes,3,Prevents opposing Pokémon from eating held Berries.
snorlax,Immunity,No,1,Prevents poison.
snorlax,Thick Fat,No,2,Halves damage from fire and ice moves.
snorlax,Gluttony,Yes,3,Makes the Pokémon eat any held Berry triggered by low HP below 1/2 its max HP.
articuno,Pressure,No,1,Increases the PP cost of moves targetting the Pokémon by one.
articuno,Snow Cloak,Yes,3,Increases evasion to 1.25× during hail.  Protects against hail damage.
zapdos,Pressure,No,1,Increases the PP cost of moves targetting the Pokémon by one.
zapdos,Static,Yes,3,Has a 30% chance of paralyzing attacking Pokémon on contact.
moltres,Pressure,No,1,Increases the PP cost of moves targetting the Pokémon by one.
moltres,Flame Body,Yes,3,Has a 30% chance of burning attacking Pokémon on contact.
dratini,Shed Skin,No,1,Has a 33% chance of curing any major status ailment after each turn.
dratini,Marvel Scale,Yes,3,Increases Defense to 1.5× with a major status ailment.
dragonair,Shed Skin,No,1,Has a 33% chance of curing any major status ailment after each turn.
dragonair,Marvel Scale,Yes,3,Increases Defense to 1.5× with a major status ailment.
dragonite,Inner Focus,No,1,Prevents flinching.
dragonite,Multiscale,Yes,3,Halves damage taken from full HP.
mewtwo,Pressure,No,1,Increases the PP cost of moves targetting the Pokémon by one.
mewtwo,Unnerve,Yes,3,Prevents opposing Pokémon from eating held Berries.
mew,Synchronize,No,1,"Copies burns, paralysis, and poison received onto the Pokémon that inflicted them."
chikorita,Overgrow,No,1,Strengthens grass moves to inflict 1.5× damage at 1/3 max HP or less.
chikorita,Leaf Guard,Yes,3,Protects against major status ailments during strong sunlight.
bayleef,Overgrow,No,1,Strengthens grass moves to inflict 1.5× damage at 1/3 max HP or less.
bayleef,Leaf Guard,Yes,3,Protects against major status ailments during strong sunlight.
meganium,Overgrow,No,1,Strengthens grass moves to inflict 1.5× damage at 1/3 max HP or less.
meganium,Leaf Guard,Yes,3,Protects against major status ailments during strong sunlight.
cyndaquil,Blaze,No,1,Strengthens fire moves to inflict 1.5× damage at 1/3 max HP or less.
cyndaquil,Flash Fire,Yes,3,"Protects against fire moves.  Once one has been blocked, the Pokémon's own Fire moves inflict 1.5× damage until it leaves battle."
quilava,Blaze,No,1,Strengthens fire moves to inflict 1.5× damage at 1/3 max HP or less.
quilava,Flash Fire,Yes,3,"Protects against fire moves.  Once one has been blocked, the Pokémon's own Fire moves inflict 1.5× damage until it leaves battle."
typhlosion,Blaze,No,1,Strengthens fire moves to inflict 1.5× damage at 1/3 max HP or less.
typhlosion,Flash Fire,Yes,3,"Protects against fire moves.  Once one has been blocked, the Pokémon's own Fire moves inflict 1.5× damage until it leaves battle."
totodile,Torrent,No,1,Strengthens water moves to inflict 1.5× damage at 1/3 max HP or less.
totodile,Sheer Force,Yes,3,"Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects."
croconaw,Torrent,No,1,Strengthens water moves to inflict 1.5× damage at 1/3 max HP or less.
croconaw,Sheer Force,Yes,3,"Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects."
feraligatr,Torrent,No,1,Strengthens water moves to inflict 1.5× damage at 1/3 max HP or less.
feraligatr,Sheer Force,Yes,3,"Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects."
sentret,Run Away,No,1,Ensures success fleeing from wild battles.
sentret,Keen Eye,No,2,Prevents accuracy from being lowered.
sentret,Frisk,Yes,3,Reveals an opponent's held item upon entering battle.
furret,Run Away,No,1,Ensures success fleeing from wild battles.
furret,Keen Eye,No,2,Prevents accuracy from being lowered.
furret,Frisk,Yes,3,Reveals an opponent's held item upon entering battle.
hoothoot,Insomnia,No,1,Prevents sleep.
hoothoot,Keen Eye,No,2,Prevents accuracy from being lowered.
hoothoot,Tinted Lens,Yes,3,Doubles damage inflicted with not-very-effective moves.
noctowl,Insomnia,No,1,Prevents sleep.
noctowl,Keen Eye,No,2,Prevents accuracy from being lowered.
noctowl,Tinted Lens,Yes,3,Doubles damage inflicted with not-very-effective moves.
ledyba,Swarm,No,1,Strengthens bug moves to inflict 1.5× damage at 1/3 max HP or less.
ledyba,Early Bird,No,2,Makes sleep pass twice as quickly.
ledyba,Rattled,Yes,3,"Raises Speed one stage upon being hit by a dark, ghost, or bug move."
ledian,Swarm,No,1,Strengthens bug moves to inflict 1.5× damage at 1/3 max HP or less.
ledian,Early Bird,No,2,Makes sleep pass twice as quickly.
ledian,Iron Fist,Yes,3,Strengthens punch-based moves to 1.2× their power.
spinarak,Swarm,No,1,Strengthens bug moves to inflict 1.5× damage at 1/3 max HP or less.
spinarak,Insomnia,No,2,Prevents sleep.
spinarak,Sniper,Yes,3,Strengthens critical hits to inflict 3× damage rather than 2×.
ariados,Swarm,No,1,Strengthens bug moves to inflict 1.5× damage at 1/3 max HP or less.
ariados,Insomnia,No,2,Prevents sleep.
ariados,Sniper,Yes,3,Strengthens critical hits to inflict 3× damage rather than 2×.
crobat,Inner Focus,No,1,Prevents flinching.
crobat,Infiltrator,Yes,3,"Bypasses light screen, reflect, and safeguard."
chinchou,Volt Absorb,No,1,"Absorbs electric moves, healing for 1/4 max HP."
chinchou,Illuminate,No,2,Doubles the wild encounter rate.
chinchou,Water Absorb,Yes,3,"Absorbs water moves, healing for 1/4 max HP."
lanturn,Volt Absorb,No,1,"Absorbs electric moves, healing for 1/4 max HP."
lanturn,Illuminate,No,2,Doubles the wild encounter rate.
lanturn,Water Absorb,Yes,3,"Absorbs water moves, healing for 1/4 max HP."
pichu,Static,No,1,Has a 30% chance of paralyzing attacking Pokémon on contact.
pichu,Lightning Rod,Yes,3,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
cleffa,Cute Charm,No,1,Has a 30% chance of infatuating attacking Pokémon on contact.
cleffa,Magic Guard,No,2,Protects against damage not directly caused by a move.
cleffa,Friend Guard,Yes,3,Decreases all direct damage taken by friendly Pokémon to 0.75×.
igglybuff,Cute Charm,No,1,Has a 30% chance of infatuating attacking Pokémon on contact.
igglybuff,Competitive,No,2,Raises Special Attack by two stages upon having any stat lowered.
igglybuff,Friend Guard,Yes,3,Decreases all direct damage taken by friendly Pokémon to 0.75×.
togepi,Hustle,No,1,"Strengthens physical moves to inflict 1.5× damage, but decreases their accuracy to 0.8×."
togepi,Serene Grace,No,2,Doubles the chance of moves' extra effects occurring.
togepi,Super Luck,Yes,3,Raises moves' critical hit rates one stage.
togetic,Hustle,No,1,"Strengthens physical moves to inflict 1.5× damage, but decreases their accuracy to 0.8×."
togetic,Serene Grace,No,2,Doubles the chance of moves' extra effects occurring.
togetic,Super Luck,Yes,3,Raises moves' critical hit rates one stage.
natu,Synchronize,No,1,"Copies burns, paralysis, and poison received onto the Pokémon that inflicted them."
natu,Early Bird,No,2,Makes sleep pass twice as quickly.
natu,Magic Bounce,Yes,3,Reflects most non-damaging moves back at their user.
xatu,Synchronize,No,1,"Copies burns, paralysis, and poison received onto the Pokémon that inflicted them."
xatu,Early Bird,No,2,Makes sleep pass twice as quickly.
xatu,Magic Bounce,Yes,3,Reflects most non-damaging moves back at their user.
mareep,Static,No,1,Has a 30% chance of paralyzing attacking Pokémon on contact.
mareep,Plus,Yes,3,Increases Special Attack to 1.5× when a friendly Pokémon has plus or minus.
flaaffy,Static,No,1,Has a 30% chance of paralyzing attacking Pokémon on contact.
flaaffy,Plus,Yes,3,Increases Special Attack to 1.5× when a friendly Pokémon has plus or minus.
ampharos,Static,No,1,Has a 30% chance of paralyzing attacking Pokémon on contact.
ampharos,Plus,Yes,3,Increases Special Attack to 1.5× when a friendly Pokémon has plus or minus.
bellossom,Chlorophyll,No,1,Doubles Speed during strong sunlight.
bellossom,Healer,Yes,3,Has a 30% chance of curing each adjacent ally of any major status ailment after each turn.
marill,Thick Fat,No,1,Halves damage from fire and ice moves.
marill,Huge Power,No,2,Doubles Attack in battle.
marill,Sap Sipper,Yes,3,"Absorbs grass moves, raising Attack one stage."
azumarill,Thick Fat,No,1,Halves damage from fire and ice moves.
azumarill,Huge Power,No,2,Doubles Attack in battle.
azumarill,Sap Sipper,Yes,3,"Absorbs grass moves, raising Attack one stage."
sudowoodo,Sturdy,No,1,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
sudowoodo,Rock Head,No,2,Protects against recoil damage.
sudowoodo,Rattled,Yes,3,"Raises Speed one stage upon being hit by a dark, ghost, or bug move."
politoed,Water Absorb,No,1,"Absorbs water moves, healing for 1/4 max HP."
politoed,Damp,No,2,"Prevents self destruct, explosion, and aftermath from working while the Pokémon is in battle."
politoed,Drizzle,Yes,3,Summons rain that lasts indefinitely upon entering battle.
hoppip,Chlorophyll,No,1,Doubles Speed during strong sunlight.
hoppip,Leaf Guard,No,2,Protects against major status ailments during strong sunlight.
hoppip,Infiltrator,Yes,3,"Bypasses light screen, reflect, and safeguard."
skiploom,Chlorophyll,No,1,Doubles Speed during strong sunlight.
skiploom,Leaf Guard,No,2,Protects against major status ailments during strong sunlight.
skiploom,Infiltrator,Yes,3,"Bypasses light screen, reflect, and safeguard."
jumpluff,Chlorophyll,No,1,Doubles Speed during strong sunlight.
jumpluff,Leaf Guard,No,2,Protects against major status ailments during strong sunlight.
jumpluff,Infiltrator,Yes,3,"Bypasses light screen, reflect, and safeguard."
aipom,Run Away,No,1,Ensures success fleeing from wild battles.
aipom,Pickup,No,2,Picks up other Pokémon's used and Flung held items.  May also pick up an item after battle.
aipom,Skill Link,Yes,3,Extends two-to-five-hit moves and triple kick to their full length every time.
sunkern,Chlorophyll,No,1,Doubles Speed during strong sunlight.
sunkern,Solar Power,No,2,Increases Special Attack to 1.5× but costs 1/8 max HP after each turn during strong sunlight.
sunkern,Early Bird,Yes,3,Makes sleep pass twice as quickly.
sunflora,Chlorophyll,No,1,Doubles Speed during strong sunlight.
sunflora,Solar Power,No,2,Increases Special Attack to 1.5× but costs 1/8 max HP after each turn during strong sunlight.
sunflora,Early Bird,Yes,3,Makes sleep pass twice as quickly.
yanma,Speed Boost,No,1,Raises Speed one stage after each turn.
yanma,Compound Eyes,No,2,Increases moves' accuracy to 1.3×.
yanma,Frisk,Yes,3,Reveals an opponent's held item upon entering battle.
wooper,Damp,No,1,"Prevents self destruct, explosion, and aftermath from working while the Pokémon is in battle."
wooper,Water Absorb,No,2,"Absorbs water moves, healing for 1/4 max HP."
wooper,Unaware,Yes,3,Ignores other Pokémon's stat modifiers for damage and accuracy calculation.
quagsire,Damp,No,1,"Prevents self destruct, explosion, and aftermath from working while the Pokémon is in battle."
quagsire,Water Absorb,No,2,"Absorbs water moves, healing for 1/4 max HP."
quagsire,Unaware,Yes,3,Ignores other Pokémon's stat modifiers for damage and accuracy calculation.
espeon,Synchronize,No,1,"Copies burns, paralysis, and poison received onto the Pokémon that inflicted them."
espeon,Magic Bounce,Yes,3,Reflects most non-damaging moves back at their user.
umbreon,Synchronize,No,1,"Copies burns, paralysis, and poison received onto the Pokémon that inflicted them."
umbreon,Inner Focus,Yes,3,Prevents flinching.
murkrow,Insomnia,No,1,Prevents sleep.
murkrow,Super Luck,No,2,Raises moves' critical hit rates one stage.
murkrow,Prankster,Yes,3,Raises non-damaging moves' priority by one stage.
slowking,Oblivious,No,1,Prevents infatuation and protects against captivate.
slowking,Own Tempo,No,2,Prevents confusion.
slowking,Regenerator,Yes,3,Heals for 1/3 max HP upon switching out.
misdreavus,Levitate,No,1,Evades ground moves.
unown,Levitate,No,1,Evades ground moves.
wobbuffet,Shadow Tag,No,1,Prevents opponents from fleeing or switching out.
wobbuffet,Telepathy,Yes,3,Protects against friendly Pokémon's damaging moves.
